id;id_bopportunity;date_remise_plis;montant_caution;objet_affaire;estimation_budget;commentaire;numero_appel_offre;numero_marche;url
1;99511;2020-02-15;67000;Rustic Granite Sausages;6183;Bike interface visualize;Incredible;Washington panel;https://amy.biz
2;85798;2020-02-15;13933;sensor recontextualize;77049;Fundamental Ohio web services;Awesome Tasty;payment Utah Ergonomic;http://bridgette.biz
3;33696;2020-02-16;60619;SQL;25518;Switchable;invoice Cotton Ouguiya;mission-critical Beauty Mews;https://darby.com
4;70427;2020-02-16;97076;River next-generation;28147;cyan mobile;District Shoes panel;Configuration;http://nikki.name
5;92964;2020-02-16;71577;Health Credit Card Account;87192;Berkshire Interactions Licensed;multi-tasking data-warehouse withdrawal;Rupiah;http://dovie.info
6;59356;2020-02-15;21990;Agent;59488;Points;granular Turkish Lira;SQL Small Cotton Gloves black;https://alysha.name
7;16203;2020-02-16;36762;Centralized;7160;withdrawal Handcrafted;grow Games;needs-based PNG architect;http://deja.com
8;72556;2020-02-15;89139;Intranet Fish;50141;Ergonomic Plastic Shirt redefine Norfolk Island;even-keeled Frozen Tasty;transitional lime Borders;https://george.info
9;59611;2020-02-16;62088;redefine intranet bluetooth;32529;Savings Account deposit Licensed;Washington SDD bluetooth;Ohio;http://ofelia.net
10;16069;2020-02-16;39748;utilisation Egyptian Pound;67534;Ergonomic Metal Soap navigating Colombian Peso Unidad de Valor Real;Oregon Nebraska Manager;green Pennsylvania Clothing;https://fausto.net
