id;id_project;project_name;project_description;budget;numero_marche
1;85529;Polarised;Books Gorgeous Fresh Chicken;42719;Refined Frozen Table Infrastructure
2;57511;Health;Producer;64529;functionalities Garden
3;62267;Engineer;exploit system e-services;13242;European Unit of Account 9(E.U.A.-9) Sleek redefine
4;80801;Bike;Mountain world-class;78300;optical
5;67092;vortals Tools;action-items;7336;bypassing
6;79445;Beauty index Enhanced;Prairie;95809;neural
7;35367;Central;payment;70663;Sleek Frozen Keyboard open-source Oklahoma
8;56062;Tennessee iterate Intelligent;Codes specifically reserved for testing purposes cohesive;68935;Washington
9;70856;systemic technologies;Malaysian Ringgit open-source Interactions;280;Gloves Intelligent Cotton Cheese Savings Account
10;78012;pink;USB ivory index;73409;Small Fresh Keyboard
