id;id_banque;banque;contact_email;contact_tel;adresse_agence
1;4191;bluetooth Burkina Faso concept;Analyst;platforms structure Usability;transitional Tonga system
2;55282;Buckinghamshire withdrawal;Assistant;Investment Account connect;Personal Loan Account stable magenta
3;44510;Rubber purple;deposit Philippine Peso navigate;Concrete Cross-platform SDD;optical Brand Nuevo Sol
4;34932;Practical Wooden Pizza Group;Business-focused Nauru;panel;Principal Gambia User-friendly
5;99584;revolutionary redundant Group;vortals;Turkish Lira backing up Gorgeous Rubber Bacon;Kenyan Shilling Incredible generate
6;18070;engineer sky blue Wisconsin;solid state;Andorra;input Gibraltar Pound
7;62327;drive drive hacking;Intranet Incredible;e-business Checking Account Executive;Unbranded indigo
8;12587;card wireless;Wooden web-enabled Rustic;payment;Toys
9;85352;Berkshire frame;Chips revolutionize;back-end Tactics frictionless;user-facing
10;78471;quantify iterate Unbranded;orchid;Moroccan Dirham;pixel foreground
