id;idcaution;montant_caution;objet;numero_caution;date_demande;date_retrait;date_depot;numero_marche;status_caution;type_caution
1;39930;71889;Industrial;Turnpike Granite Electronics;2020-02-15;2020-02-16;2020-02-15;Credit Card Account JBOD;RETOURNEE;PROVISOIRE
2;78763;13513;Solomon Islands target Credit Card Account;Home Loan Account Arkansas;2020-02-15;2020-02-15;2020-02-16;dot-com Walk;DEPOSEE;PROVISOIRE
3;94850;1987;open architecture neutral;Berkshire;2020-02-16;2020-02-15;2020-02-15;Function-based Movies Pizza;DEPOSEE;DEFINITIVE
4;28675;59533;Zambian Kwacha Fantastic Car;Senior;2020-02-15;2020-02-16;2020-02-16;Arkansas;RETOURNEE;DEFINITIVE
5;74994;77226;Russian Federation;Solutions Vermont;2020-02-15;2020-02-16;2020-02-16;IB networks Ergonomic;RETOURNEE;DEFINITIVE
6;94525;10202;reinvent Unbranded B2C;JBOD;2020-02-16;2020-02-16;2020-02-16;New Jersey;DEPOSEE;DEFINITIVE
7;68318;46689;Fish Tasty Computers;6th generation National Automotive;2020-02-16;2020-02-15;2020-02-16;port plum alarm;DEMANDEE;DEFINITIVE
8;4705;26568;Chief Home;Bedfordshire Intelligent Concrete Tuna matrix;2020-02-16;2020-02-16;2020-02-16;Awesome Incredible;DEPOSEE;PROVISOIRE
9;55405;28380;quantifying;Viaduct Borders;2020-02-16;2020-02-15;2020-02-15;SDD Forward;DEPOSEE;PROVISOIRE
10;41688;55847;Run Cliff magenta;Unbranded Metal Chips Checking Account port;2020-02-16;2020-02-15;2020-02-16;West Virginia impactful Interactions;RETOURNEE;DEFINITIVE
